O,D,all
E02002350,E02002345,7
E02002390,E02002412,6
E02002381,E02002391,173
E02002410,E02002352,13
E02002405,E02002387,35
E02002402,E02002390,57
E02002363,E02002404,22
E02002341,E02006875,478
E02002414,E02002415,32
E02006852,E02002362,26
E02002353,E02002361,74
E02002396,E02002405,24
E02002362,E02002427,6
E02002430,E02006876,246
E02002384,E02002393,73
E02002430,E02006852,6
E02002362,E02002332,3
E02002412,E02006875,498
E02002338,E02002343,69
E02006875,E02002384,48
E02002338,E02002371,8
E02002391,E02006875,461
E02002334,E02002381,2
E02002368,E02002335,5
E02002386,E02006875,569
E02002425,E02002412,57
E02002344,E02002352,95
E02002359,E02002429,8
E02002407,E02006876,76
E02002433,E02002395,13
E02002411,E02002348,21
E02002361,E02002364,15
E02002404,E02002400,96
E02002388,E02002395,28
E02006852,E02006875,1221
E02002358,E02002357,13
E02002404,E02006875,1145
E02002376,E02006875,313
E02002436,E02002415,8
E02002395,E02002368,38
E02002336,E02002333,97
E02002337,E02002392,77
E02002371,E02006875,750
E02002350,E02002334,3
E02002425,E02002400,77
E02002420,E02002343,5
E02002394,E02002369,9
E02002381,E02002411,33
E02002423,E02002357,4
E02002361,E02002411,37
E02002398,E02002393,117
E02002431,E02002424,110
E02002338,E02002333,89
E02002422,E02002385,17
E02002330,E02002331,742
E02002410,E02002395,19
E02002402,E02002419,28
E02002421,E02006876,362
E02002404,E02006876,188
E02002376,E02002366,54
E02002397,E02002384,28
E02002353,E02002398,3
E02006852,E02002390,18
E02002432,E02002393,45
E02002371,E02002347,11
E02002403,E02006875,336
E02002338,E02002339,163
E02002337,E02002384,13
E02002386,E02002435,26
E02002340,E02002339,232
E02002374,E02006875,684
E02002407,E02006875,398
E02002334,E02006875,284
E02002434,E02002411,61
E02002429,E02006876,313
E02002390,E02002420,22
E02002373,E02006875,1037
E02002398,E02002402,92
E02002340,E02002333,52
E02006861,E02006875,1177
E02002381,E02002419,41
E02002369,E02006875,362
E02002434,E02002427,96
E02002428,E02002423,31
E02002427,E02002386,17
E02002358,E02002394,44
E02002429,E02002427,214
E02002424,E02006875,496
E02002368,E02006875,500
E02002400,E02006876,119
E02002395,E02002405,28
E02006876,E02006875,1035
E02002424,E02002433,251
E02006876,E02002423,6
E02002408,E02002379,6
E02002416,E02002358,20
E02002342,E02002346,105
E02002373,E02002422,50
E02002368,E02002380,19
E02002380,E02002375,34
